tlu.dl.delivery.mp.microsoft.com

182.61.128.148	(中国 电信)
223.215.161.218	(中国安徽池州 电信)
223.215.189.47	(中国安徽池州 电信)
117.68.47.12	(中国安徽合肥 电信)
112.122.156.204	(中国安徽合肥 联通)
60.171.255.52	(中国安徽宿州 电信)
36.110.220.113	(中国北京 电信)
49.7.69.134	(中国北京 电信)
106.39.192.145	(中国北京 电信)
119.84.76.81	(中国重庆 电信)
119.84.164.227	(中国重庆 电信)
219.152.87.105	(中国重庆 电信)
219.153.186.242	(中国重庆 电信)
222.180.167.102	(中国重庆 电信)
58.144.195.57	(中国重庆 联通)
58.144.228.61	(中国重庆 联通)
58.144.242.55	(中国重庆 联通)
58.144.244.56	(中国重庆 联通)
221.178.15.56	(中国重庆 移动)
221.178.62.142	(中国重庆 移动)
27.148.199.153	(中国福建福州 电信)
27.155.68.12	(中国福建福州 电信)
59.56.23.7	(中国福建福州 电信)
59.56.26.10	(中国福建福州 电信)
117.27.148.181	(中国福建福州 电信)
120.39.213.204	(中国福建福州 电信)
120.39.215.148	(中国福建福州 电信)
121.204.229.12	(中国福建福州 电信)
124.72.129.81	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
222.79.112.41	(中国福建福州 电信)
220.249.135.22	(中国福建宁德 联通)
27.152.189.58	(中国福建泉州 电信)
61.134.71.74	(中国甘肃兰州 电信)
125.74.134.79	(中国甘肃兰州 电信)
36.142.11.19	(中国甘肃兰州 移动)
117.157.227.1	(中国甘肃兰州 移动)
14.17.91.34	(中国广东东莞 电信)
59.36.100.246	(中国广东东莞 电信)
113.105.142.50	(中国广东东莞 电信)
113.105.153.216	(中国广东东莞 电信)
119.147.131.194	(中国广东东莞 电信)
14.29.50.205	(中国广东佛山 电信)
116.31.102.50	(中国广东佛山 电信)
120.240.51.80	(中国广东佛山 移动)
14.29.100.47	(中国广东广州 电信)
121.12.0.57	(中国广东广州 电信)
125.88.199.142	(中国广东广州 电信)
120.232.207.104	(中国广东广州 移动)
120.233.171.75	(中国广东广州 移动)
120.233.185.196	(中国广东广州 移动)
120.233.188.68	(中国广东广州 移动)
120.196.204.110	(中国广东江门 移动)
120.232.141.15	(中国广东江门 移动)
183.240.90.143	(中国广东茂名 移动)
183.36.7.190	(中国广东深圳 电信)
183.62.112.58	(中国广东深圳 电信)
183.62.114.56	(中国广东深圳 电信)
120.234.70.95	(中国广东深圳 移动)
120.234.72.227	(中国广东深圳 移动)
183.232.147.134	(中国广东深圳 移动)
183.235.178.11	(中国广东阳江 移动)
182.91.254.87	(中国广西桂林 联通)
222.218.144.89	(中国广西河池 电信)
116.8.119.198	(中国广西南宁 电信)
116.253.60.72	(中国广西南宁 电信)
171.105.192.126	(中国广西南宁 电信)
222.216.123.124	(中国广西南宁 电信)
222.218.188.174	(中国广西南宁 电信)
211.97.76.42	(中国广西南宁 联通)
36.136.78.3	(中国广西南宁 移动)
111.123.42.194	(中国贵州贵阳 电信)
111.123.57.104	(中国贵州贵阳 电信)
119.0.79.10	(中国贵州贵阳 电信)
61.243.27.193	(中国贵州贵阳 联通)
116.171.87.129	(中国贵州黔南布依族苗族自治州 联通)
116.171.96.16	(中国贵州黔南布依族苗族自治州 联通)
124.225.13.58	(中国海南海口 电信)
124.225.108.12	(中国海南海口 电信)
124.225.121.159	(中国海南海口 电信)
218.77.192.58	(中国海南海口 电信)
113.59.41.33	(中国海南海口 联通)
183.255.16.68	(中国海南海口 移动)
183.255.33.68	(中国海南海口 移动)
116.131.56.179	(中国河北保定 联通)
121.18.169.208	(中国河北保定 联通)
123.182.125.184	(中国河北承德 电信)
106.119.85.11	(中国河北邯郸 电信)
111.62.160.51	(中国河北衡水 移动)
27.128.218.9	(中国河北廊坊 电信)
106.118.30.195	(中国河北廊坊 电信)
123.182.171.112	(中国河北廊坊 电信)
101.96.148.83	(中国河北石家庄 电信)
124.236.90.13	(中国河北石家庄 电信)
121.29.3.91	(中国河北石家庄 联通)
121.29.13.115	(中国河北石家庄 联通)
106.117.219.1	(中国河北唐山 电信)
106.117.242.242	(中国河北唐山 电信)
101.72.199.43	(中国河北唐山 联通)
106.8.153.33	(中国河北张家口 电信)
116.131.225.198	(中国河北张家口 联通)
123.13.185.4	(中国河南安阳 联通)
115.56.90.107	(中国河南焦作 联通)
61.54.94.120	(中国河南洛阳 联通)
221.15.64.10	(中国河南洛阳 联通)
221.15.70.55	(中国河南洛阳 联通)
1.194.175.199	(中国河南郑州 电信)
1.194.195.94	(中国河南郑州 电信)
1.194.205.32	(中国河南郑州 电信)
36.99.70.105	(中国河南郑州 电信)
36.99.183.90	(中国河南郑州 电信)
123.54.192.48	(中国河南郑州 电信)
123.6.13.9	(中国河南郑州 联通)
183.204.10.218	(中国河南郑州 移动)
183.204.54.83	(中国河南郑州 移动)
183.204.73.52	(中国河南郑州 移动)
183.205.178.10	(中国河南郑州 移动)
183.205.179.83	(中国河南郑州 移动)
183.205.180.166	(中国河南郑州 移动)
42.100.50.101	(中国黑龙江哈尔滨 电信)
42.101.23.55	(中国黑龙江哈尔滨 电信)
42.185.159.194	(中国黑龙江哈尔滨 电信)
1.190.200.102	(中国黑龙江哈尔滨 联通)
202.97.231.75	(中国黑龙江哈尔滨 联通)
111.42.193.81	(中国黑龙江哈尔滨 移动)
111.43.172.211	(中国黑龙江哈尔滨 移动)
1.56.100.56	(中国黑龙江鹤岗 联通)
218.10.9.78	(中国黑龙江齐齐哈尔 联通)
61.167.55.138	(中国黑龙江绥化 联通)
113.6.93.29	(中国黑龙江绥化 联通)
113.7.203.6	(中国黑龙江绥化 联通)
122.188.44.180	(中国湖北黄冈 联通)
122.189.82.51	(中国湖北荆州 联通)
58.49.196.108	(中国湖北武汉 电信)
119.96.6.120	(中国湖北武汉 电信)
119.96.18.39	(中国湖北武汉 电信)
119.96.21.134	(中国湖北武汉 电信)
111.48.68.246	(中国湖北武汉 移动)
111.48.130.184	(中国湖北武汉 移动)
111.48.157.2	(中国湖北武汉 移动)
223.76.106.45	(中国湖北武汉 移动)
223.76.170.37	(中国湖北武汉 移动)
61.184.6.58	(中国湖北襄阳 电信)
111.47.228.51	(中国湖北襄阳 移动)
111.48.51.25	(中国湖北襄阳 移动)
111.48.175.169	(中国湖北襄阳 移动)
116.207.131.219	(中国湖北宜昌 电信)
119.36.225.191	(中国湖北宜昌 联通)
113.240.96.82	(中国湖南长沙 电信)
118.253.164.4	(中国湖南长沙 电信)
175.6.52.125	(中国湖南长沙 电信)
175.6.92.23	(中国湖南长沙 电信)
175.12.73.157	(中国湖南长沙 电信)
175.12.120.159	(中国湖南长沙 电信)
111.22.174.22	(中国湖南长沙 移动)
120.226.14.65	(中国湖南长沙 移动)
120.226.43.65	(中国湖南长沙 移动)
120.226.47.30	(中国湖南长沙 移动)
139.214.194.54	(中国吉林白城 联通)
106.41.204.107	(中国吉林长春 电信)
106.41.206.187	(中国吉林长春 电信)
116.142.234.107	(中国吉林长春 联通)
116.142.244.148	(中国吉林长春 联通)
58.216.7.61	(中国江苏常州 电信)
58.216.106.196	(中国江苏常州 电信)
218.93.159.77	(中国江苏常州 电信)
36.151.224.15	(中国江苏常州 移动)
223.111.118.218	(中国江苏常州 移动)
36.150.13.174	(中国江苏淮安 移动)
36.150.14.204	(中国江苏淮安 移动)
49.88.232.191	(中国江苏连云港 电信)
36.151.203.182	(中国江苏连云港 移动)
36.163.117.54	(中国江苏连云港 移动)
223.111.194.228	(中国江苏连云港 移动)
36.155.26.243	(中国江苏南京 移动)
112.20.81.22	(中国江苏南京 移动)
58.221.30.167	(中国江苏南通 电信)
218.91.226.28	(中国江苏南通 电信)
121.228.190.70	(中国江苏苏州 电信)
112.3.25.28	(中国江苏宿迁 移动)
223.109.203.205	(中国江苏宿迁 移动)
36.156.110.142	(中国江苏泰州 移动)
58.218.65.56	(中国江苏徐州 电信)
223.109.115.5	(中国江苏徐州 移动)
36.151.217.227	(中国江苏盐城 移动)
36.156.102.160	(中国江苏盐城 移动)
58.220.44.76	(中国江苏扬州 电信)
222.186.162.56	(中国江苏镇江 电信)
222.186.163.56	(中国江苏镇江 电信)
117.42.74.20	(中国江西抚州 电信)
113.194.51.106	(中国江西抚州 联通)
115.150.38.95	(中国江西赣州 电信)
117.21.231.59	(中国江西赣州 电信)
115.152.216.48	(中国江西景德镇 电信)
117.21.234.241	(中国江西九江 电信)
117.43.10.9	(中国江西九江 电信)
106.225.246.25	(中国江西南昌 电信)
106.227.18.128	(中国江西南昌 电信)
106.227.70.3	(中国江西南昌 电信)
116.153.60.140	(中国江西南昌 联通)
116.153.61.189	(中国江西南昌 联通)
116.153.62.140	(中国江西南昌 联通)
116.153.64.158	(中国江西南昌 联通)
116.153.68.118	(中国江西南昌 联通)
116.153.79.102	(中国江西南昌 联通)
118.212.138.163	(中国江西南昌 联通)
118.212.235.187	(中国江西南昌 联通)
117.162.6.9	(中国江西南昌 移动)
117.169.1.102	(中国江西南昌 移动)
123.244.92.22	(中国辽宁朝阳 电信)
42.202.141.89	(中国辽宁大连 电信)
42.202.156.28	(中国辽宁大连 电信)
42.202.165.156	(中国辽宁大连 电信)
42.202.166.19	(中国辽宁大连 电信)
42.202.170.95	(中国辽宁大连 电信)
42.202.212.46	(中国辽宁大连 电信)
42.59.17.43	(中国辽宁大连 联通)
123.247.86.155	(中国辽宁辽阳 电信)
42.248.133.69	(中国辽宁沈阳 电信)
42.4.55.107	(中国辽宁沈阳 联通)
42.4.58.180	(中国辽宁沈阳 联通)
124.95.149.67	(中国辽宁沈阳 联通)
124.95.177.244	(中国辽宁沈阳 联通)
218.24.84.109	(中国辽宁沈阳 联通)
218.24.86.101	(中国辽宁沈阳 联通)
218.61.166.137	(中国辽宁沈阳 联通)
36.131.201.67	(中国辽宁沈阳 移动)
120.201.28.185	(中国辽宁沈阳 移动)
120.201.64.75	(中国辽宁沈阳 移动)
223.100.47.37	(中国辽宁沈阳 移动)
1.180.27.230	(中国内蒙古呼和浩特 电信)
111.56.82.197	(中国内蒙古呼和浩特 移动)
117.161.74.98	(中国内蒙古呼和浩特 移动)
116.172.86.70	(中国宁夏中卫 联通)
111.51.128.29	(中国宁夏中卫 移动)
111.51.162.51	(中国宁夏中卫 移动)
111.51.164.47	(中国宁夏中卫 移动)
111.51.165.5	(中国宁夏中卫 移动)
118.213.92.50	(中国青海海东 电信)
140.249.101.64	(中国山东济南 电信)
140.249.104.130	(中国山东济南 电信)
140.249.117.63	(中国山东济南 电信)
150.138.210.17	(中国山东济南 电信)
150.138.218.138	(中国山东济南 电信)
150.138.233.57	(中国山东济南 电信)
182.40.120.185	(中国山东济南 电信)
222.173.4.116	(中国山东济南 电信)
60.217.249.30	(中国山东济南 联通)
60.217.253.62	(中国山东济南 联通)
61.156.51.65	(中国山东济南 联通)
116.196.136.235	(中国山东济南 联通)
119.188.44.180	(中国山东济南 联通)
119.188.46.81	(中国山东济南 联通)
119.188.229.62	(中国山东济南 联通)
123.134.185.244	(中国山东济南 联通)
120.220.156.122	(中国山东济南 移动)
182.40.80.30	(中国山东临沂 电信)
140.249.144.129	(中国山东青岛 电信)
140.249.153.82	(中国山东青岛 电信)
140.249.244.145	(中国山东青岛 电信)
140.249.245.4	(中国山东青岛 电信)
150.139.156.99	(中国山东青岛 电信)
150.139.157.63	(中国山东青岛 电信)
27.221.14.169	(中国山东青岛 联通)
119.167.147.56	(中国山东青岛 联通)
61.179.224.188	(中国山东泰安 联通)
120.222.189.51	(中国山东威海 移动)
58.58.78.92	(中国山东潍坊 电信)
61.162.101.39	(中国山东淄博 联通)
