XboxCn1

112.29.119.63	(中国安徽蚌埠 移动)
223.215.161.244	(中国安徽池州 电信)
211.141.193.76	(中国安徽阜阳 移动)
220.180.243.214	(中国安徽合肥 电信)
220.180.244.104	(中国安徽合肥 电信)
223.244.13.71	(中国安徽合肥 电信)
61.241.148.207	(中国安徽合肥 联通)
112.30.218.76	(中国安徽合肥 移动)
36.110.220.119	(中国北京 电信)
49.7.69.134	(中国北京 电信)
123.125.246.52	(中国北京 联通)
61.128.149.100	(中国重庆 电信)
113.249.87.130	(中国重庆 电信)
119.84.242.220	(中国重庆 电信)
183.66.104.118	(中国重庆 电信)
219.152.87.113	(中国重庆 电信)
219.153.187.134	(中国重庆 电信)
58.144.229.3	(中国重庆 联通)
58.144.244.57	(中国重庆 联通)
221.178.10.159	(中国重庆 移动)
221.178.11.168	(中国重庆 移动)
125.77.181.195	(中国福建福州 电信)
36.250.233.2	(中国福建福州 联通)
27.152.188.165	(中国福建泉州 电信)
125.77.149.133	(中国福建泉州 电信)
36.249.80.84	(中国福建泉州 联通)
36.249.91.79	(中国福建泉州 联通)
36.249.95.89	(中国福建泉州 联通)
36.250.242.243	(中国福建泉州 联通)
112.48.194.195	(中国福建泉州 移动)
117.31.116.61	(中国福建厦门 电信)
119.233.138.3	(中国福建厦门 福建广电/联通)
183.250.176.122	(中国福建厦门 移动)
118.180.0.74	(中国甘肃兰州 电信)
125.74.134.72	(中国甘肃兰州 电信)
119.147.113.53	(中国广东东莞 电信)
119.147.131.95	(中国广东东莞 电信)
121.12.126.217	(中国广东东莞 电信)
27.44.132.60	(中国广东东莞 联通)
116.31.102.52	(中国广东佛山 电信)
120.240.101.131	(中国广东佛山 移动)
183.240.60.50	(中国广东佛山 移动)
14.22.20.210	(中国广东广州 电信)
14.29.100.61	(中国广东广州 电信)
183.2.166.62	(中国广东广州 电信)
120.233.178.142	(中国广东广州 移动)
120.233.183.143	(中国广东广州 移动)
183.240.90.196	(中国广东茂名 移动)
119.147.55.119	(中国广东深圳 电信)
58.251.87.217	(中国广东深圳 联通)
58.251.127.93	(中国广东深圳 联通)
211.95.142.55	(中国广东深圳 联通)
14.119.92.7	(中国广东肇庆 电信)
106.127.135.72	(中国广西南宁 电信)
171.105.25.22	(中国广西南宁 电信)
171.105.26.93	(中国广西南宁 电信)
171.105.63.47	(中国广西南宁 电信)
171.105.185.58	(中国广西南宁 电信)
171.105.192.127	(中国广西南宁 电信)
171.108.209.103	(中国广西南宁 电信)
171.108.214.164	(中国广西南宁 电信)
222.216.123.253	(中国广西南宁 电信)
222.218.85.52	(中国广西南宁 电信)
